"Path","Dates range","Impressions","Clicks","CTR %","Avg. position","Avg. click position","Impressions for 1st position","Clicks from pos. 1","CTR % for pos. 1","Impressions for pos. 2-3","Clicks from pos. 2-3","CTR % for pos. 2-3","Avg. impression position for pos. 2-3","Avg. click position from pos. 2-3","Impressions for pos. 4-10","Clicks from pos. 4-10","CTR % for pos. 4-10","Avg. impression position for pos. 4-10","Avg. click position from pos. 4-10","Impressions for pos. 11-50","Clicks from pos. 11-50","CTR % for pos. 11-50","Avg. impression position for pos. 11-50","Avg. click position from pos. 11-50"
"/businka/articles/zmeinyj-uzel-paracord-snake-knot/","2026-05-24 - 2026-06-24","84.00","5.00","5.95","8.57","5.80","2.00","0.00","0.00","7.00","0.00","0.00","2.43","","58.00","5.00","8.62","7.64","5.80","17.00","0.00","0.00","15.18",""
"/businka/articles/kak-vybrat-businu/","2026-05-24 - 2026-06-24","67.00","2.00","2.99","6.94","4.00","4.00","0.00","0.00","8.00","1.00","12.50","2.50","2.00","38.00","1.00","2.63","6.34","6.00","17.00","0.00","0.00","11.76",""
"/","2026-05-24 - 2026-06-24","18.00","5.00","27.78","6.17","4.60","3.00","2.00","66.67","2.00","1.00","50.00","2.50","2.00","11.00","1.00","9.09","6.91","5.00","2.00","1.00","50.00","13.50","14.00"
"/businka/","2026-05-24 - 2026-06-24","14.00","1.00","7.14","8.86","4.00","1.00","0.00","0.00","0.00","0.00","","","","9.00","1.00","11.11","8.11","4.00","4.00","0.00","0.00","12.50",""
"/businka/items/039_los_patina/item.html","2026-05-24 - 2026-06-24","13.00","0.00","0.00","7.38","","0.00","0.00","","0.00","0.00","","","","11.00","0.00","0.00","6.64","","2.00","0.00","0.00","11.50",""
"/businka/articles/kollektsionirovanie/","2026-05-24 - 2026-06-24","12.00","1.00","8.33","6.17","2.00","1.00","0.00","0.00","3.00","1.00","33.33","2.33","2.00","6.00","0.00","0.00","7.00","","2.00","0.00","0.00","12.00",""
"/businka/temlyak-s-businoy/","2026-05-24 - 2026-06-24","8.00","0.00","0.00","6.25","","0.00","0.00","","2.00","0.00","0.00","2.50","","6.00","0.00","0.00","7.50","","0.00","0.00","","",""
"/businka/articles/start-kit-v1/","2026-05-24 - 2026-06-24","5.00","0.00","0.00","8.40","","0.00","0.00","","0.00","0.00","","","","5.00","0.00","0.00","8.40","","0.00","0.00","","",""
"/businka/categories/businy-dlya-temlyaka/","2026-05-24 - 2026-06-24","4.00","0.00","0.00","9.25","","0.00","0.00","","0.00","0.00","","","","4.00","0.00","0.00","9.25","","0.00","0.00","","",""
"/businka/items/004_Veyder_uv/item.html","2026-05-24 - 2026-06-24","3.00","0.00","0.00","5.00","","0.00","0.00","","0.00","0.00","","","","3.00","0.00","0.00","5.00","","0.00","0.00","","",""
"/businka/categories/businy-dlya-nozha/","2026-05-24 - 2026-06-24","3.00","0.00","0.00","8.67","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","1.00","0.00","0.00","12.00",""
"/businka/articles/about/","2026-05-24 - 2026-06-24","2.00","0.00","0.00","10.50","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","1.00","0.00","0.00","11.00",""
"/businka/items/021_leprek_kruzka_color/item.html","2026-05-24 - 2026-06-24","2.00","0.00","0.00","7.00","","0.00","0.00","","0.00","0.00","","","","2.00","0.00","0.00","7.00","","0.00","0.00","","",""
"/businka/items/012_zub_feya_patina/item.html","2026-05-24 - 2026-06-24","1.00","0.00","0.00","9.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","9.00","","0.00","0.00","","",""
"/businka/articles/","2026-05-24 - 2026-06-24","1.00","0.00","0.00","4.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","4.00","","0.00","0.00","","",""
"/businka/items/029_bulka_resine/item.html","2026-05-24 - 2026-06-24","1.00","0.00","0.00","10.00","","0.00","0.00","","0.00","0.00","","","","1.00","0.00","0.00","10.00","","0.00","0.00","","",""
"/businka/items/006_Zlaya_sobaka_patina/item.html","2026-05-24 - 2026-06-24","1.00","0.00","0.00","11.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","11.00",""
"/businka/items/036_sumo_patina/item.html?tg=1","2026-05-24 - 2026-06-24","1.00","0.00","0.00","19.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","19.00",""
"/businka/categories/businy-dlya-brelokov/","2026-05-24 - 2026-06-24","1.00","0.00","0.00","16.00","","0.00","0.00","","0.00","0.00","","","","0.00","0.00","","","","1.00","0.00","0.00","16.00",""
